mtx_name                                 mm_time(ms)
c-73b                                    862.9882
c-73                                     865.3033
in2010                                   6.2394
Raj1                                     1098.7400
ASIC_320ks                               35.5701
raefsky4                                 14.5169
SiO                                      33.3557
fe_rotor                                 20.4151
hvdc2                                    6.9397
pli                                      20.0599
nemeth22                                 11.0293
heart1                                   25.6128
va2010                                   18.2603
nc2010                                   19.3444
ga2010                                   18.0039
thermomech_dM                            10.1938
imagesensor                              21.9367
bcsstk35                                 13.5430
std1_Jac3                                25.0820
rgg_n_2_17_s0                            16.5659
TSOPF_RS_b300_c1                         16.3715
598a                                     22.6431
raefsky3                                 10.1024
net75                                    55.9018
lhr71                                    17.4925
web-NotreDame                            42.7829
boyd2                                    FAIL
nemeth24                                 10.3423
nemeth23                                 10.8241
nemeth25                                 11.9328
nemeth26                                 12.4485
lhr71c                                   19.5257
sparsine                                 34.0474
delaunay_n18                             15.0719
mi2010                                   9.3225
pkustk09                                 13.7039
dblp-2010                                33.2290
coAuthorsCiteseer                        34.8117
nv1                                      33.1409
d_pretok                                 19.5855
Zd_Jac2                                  27.7222
lp1                                      FAIL
2cubes_sphere                            23.1461
mo2010                                   22.1183
qa8fm                                    18.5844
qa8fk                                    19.4746
ns3Da                                    33.2182
av41092                                  33.3319
turon_m                                  20.8388
ASIC_680ks                               37.3249
gas_sensor                               19.9265
ny2010                                   8.7619
Zd_Jac6                                  28.3696
venkat25                                 14.0896
venkat50                                 13.4043
venkat01                                 13.9657
majorbasis                               23.0814
crashbasis                               23.5150
pcrystk03                                17.7137
crystk03                                 18.0133
Lin                                      16.5197
oh2010                                   21.8306
bbmat                                    24.8725
invextr1_new                             25.1850
Goodwin_071                              18.1282
TSOPF_FS_b162_c3                         226.4483
cfd1                                     18.9885
com-Amazon                               31.8207
appu                                     138.1807
rajat21                                  FAIL
power9                                   32.6216
loc-Gowalla                              306.1457
Zd_Jac3                                  28.8577
opt1                                     22.3304
ASIC_320k                                FAIL
trdheim                                  15.7057
rajat24                                  FAIL
coAuthorsDBLP                            39.9517
TSOPF_FS_b39_c19                         981.1592
mixtank_new                              25.8547
